AAPL (APPLE INC),483.5696,+0.1596,
Oct 04 2013 @ 16:14 ET,Bid,483.55,Ask,483.57,Size,1x11,Vol,8802537,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Oct 360.00 (AAPL71304J360-S),0.0,0.0,121.10,125.25,0,0,13 Oct 360.00 (AAPL71304V360-S),0.0,0.0,0.0,0.50,0,0,
13 Oct 360.00 (AAPL71304J360-X),0.0,0.0,121.15,124.90,0,0,13 Oct 360.00 (AAPL71304V360-X),0.0,0.0,0.0,0.50,0,0,
13 Oct 360.00 (AAPL71304J360-Y),0.0,0.0,120.75,124.90,0,0,13 Oct 360.00 (AAPL71304V360-Y),0.0,0.0,0.0,0.50,0,0,
13 Oct 365.00 (AAPL1304J365),0.0,0.0,118.05,119.00,0,0,13 Oct 365.00 (AAPL1304V365),0.04,0.0,0.0,0.01,0,2,
13 Oct 365.00 (AAPL1304J365-4),0.0,0.0,116.85,119.35,0,0,13 Oct 365.00 (AAPL1304V365-4),0.0,0.0,0.0,0.27,0,2,
13 Oct 365.00 (AAPL1304J365-8),0.0,0.0,116.85,119.85,0,0,13 Oct 365.00 (AAPL1304V365-8),0.0,0.0,0.0,0.12,0,2,
13 Oct 365.00 (AAPL1304J365-A),0.0,0.0,116.85,119.90,0,0,13 Oct 365.00 (AAPL1304V365-A),0.0,0.0,0.0,0.02,0,2,
13 Oct 365.00 (AAPL1304J365-B),0.0,0.0,116.05,119.85,0,0,13 Oct 365.00 (AAPL1304V365-B),0.0,0.0,0.0,0.12,0,2,
13 Oct 365.00 (AAPL1304J365-E),0.0,0.0,117.85,119.00,0,0,13 Oct 365.00 (AAPL1304V365-E),0.04,0.0,0.0,0.08,0,2,
13 Oct 365.00 (AAPL1304J365-I),0.0,0.0,116.85,119.90,0,0,13 Oct 365.00 (AAPL1304V365-I),0.0,0.0,0.0,0.02,0,2,
13 Oct 365.00 (AAPL1304J365-J),0.0,0.0,116.30,119.85,0,0,13 Oct 365.00 (AAPL1304V365-J),0.0,0.0,0.0,0.28,0,2,
13 Oct 365.00 (AAPL1304J365-O),0.0,0.0,116.85,119.75,0,0,13 Oct 365.00 (AAPL1304V365-O),0.0,0.0,0.0,0.01,0,2,
13 Oct 365.00 (AAPL1304J365-P),0.0,0.0,116.10,119.85,0,0,13 Oct 365.00 (AAPL1304V365-P),0.0,0.0,0.0,0.01,0,2,
13 Oct 365.00 (AAPL1304J365-S),0.0,0.0,116.85,120.05,0,0,13 Oct 365.00 (AAPL1304V365-S),0.0,0.0,0.0,0.15,0,2,
13 Oct 365.00 (AAPL1304J365-X),0.0,0.0,116.85,120.00,0,0,13 Oct 365.00 (AAPL1304V365-X),0.0,0.0,0.0,0.08,0,2,
13 Oct 365.00 (AAPL1304J365-Y),0.0,0.0,118.05,119.00,0,0,13 Oct 365.00 (AAPL1304V365-Y),0.0,0.0,0.0,0.29,0,2,
13 Oct 370.00 (AAPL1304J370),0.0,0.0,113.05,114.00,0,0,13 Oct 370.00 (AAPL1304V370),0.0,0.0,0.0,0.01,0,0,
13 Oct 370.00 (AAPL1304J370-4),0.0,0.0,111.85,115.10,0,0,13 Oct 370.00 (AAPL1304V370-4),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-8),0.0,0.0,111.85,114.85,0,0,13 Oct 370.00 (AAPL1304V370-8),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-A),0.0,0.0,111.85,114.90,0,0,13 Oct 370.00 (AAPL1304V370-A),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-B),0.0,0.0,111.05,114.85,0,0,13 Oct 370.00 (AAPL1304V370-B),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-E),0.0,0.0,112.85,114.00,0,0,13 Oct 370.00 (AAPL1304V370-E),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-I),0.0,0.0,111.85,114.90,0,0,13 Oct 370.00 (AAPL1304V370-I),0.0,0.0,0.0,3.25,0,0,
13 Oct 370.00 (AAPL1304J370-J),0.0,0.0,111.30,114.85,0,0,13 Oct 370.00 (AAPL1304V370-J),0.0,0.0,0.0,5.00,0,0,
13 Oct 370.00 (AAPL1304J370-O),0.0,0.0,111.85,114.75,0,0,13 Oct 370.00 (AAPL1304V370-O),0.0,0.0,0.0,0.01,0,0,
13 Oct 370.00 (AAPL1304J370-P),0.0,0.0,111.10,114.85,0,0,13 Oct 370.00 (AAPL1304V370-P),0.0,0.0,0.0,0.05,0,0,
13 Oct 370.00 (AAPL1304J370-S),0.0,0.0,111.85,115.05,0,0,13 Oct 370.00 (AAPL1304V370-S),0.0,0.0,0.0,0.15,0,0,
13 Oct 370.00 (AAPL1304J370-X),0.0,0.0,111.85,115.05,0,0,13 Oct 370.00 (AAPL1304V370-X),0.0,0.0,0.0,0.12,0,0,
13 Oct 370.00 (AAPL1304J370-Y),0.0,0.0,113.05,114.00,0,0,13 Oct 370.00 (AAPL1304V370-Y),0.0,0.0,0.0,5.00,0,0,
13 Oct 370.00 (AAPL71304J370),0.0,0.0,111.20,114.70,0,0,13 Oct 370.00 (AAPL71304V370),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-4),0.0,0.0,111.15,114.55,0,0,13 Oct 370.00 (AAPL71304V370-4),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-8),0.0,0.0,110.75,114.75,0,0,13 Oct 370.00 (AAPL71304V370-8),0.0,0.0,0.0,1.73,0,0,
